,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id,last_name.1,first_name.1,middle_name.1,suffix.1,nickname.1,full_name.1,birthday.1,gender.1,type.1,state.1,district.1,senate_class.1,party.1,url.1,address.1,phone.1,contact_form.1,rss_url.1,twitter.1,facebook.1,youtube.1,youtube_id.1,bioguide_id.1,thomas_id.1,opensecrets_id.1,lis_id.1,fec_ids.1,cspan_id.1,govtrack_id.1,votesmart_id.1,ballotpedia_id.1,washington_post_id.1,icpsr_id.1,wikipedia_id.1
10,Tester,Jon,,,,Jon Tester,1956-08-21,M,sen,MT,,1.0,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,SenatorTester,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,1829.0,N00027605,S314,S6MT00162,1020176.0,412244,20928.0,Jon Tester,,40702.0,Jon Tester,Tester,Jon,,,,Jon Tester,1956-08-21,M,sen,MT,,1.0,Democrat,https://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,SenatorTester,senatortester,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,1829.0,N00027605,S314,S6MT00162,1020176.0,412244,20928.0,Jon Tester,,40702.0,Jon Tester
11,Whitehouse,Sheldon,,,,Sheldon Whitehouse,1955-10-20,M,sen,RI,,1.0,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,1823.0,N00027533,S316,S6RI00221,92235.0,412247,2572.0,Sheldon Whitehouse,,40704.0,Sheldon Whitehouse,Whitehouse,Sheldon,,,,Sheldon Whitehouse,1955-10-20,M,sen,RI,,1.0,Democrat,https://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,https://www.whitehouse.senate.gov/contact/email-sheldon,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,1823.0,N00027533,S316,S6RI00221,92235.0,412247,2572.0,Sheldon Whitehouse,,40704.0,Sheldon Whitehouse
12,Barrasso,John,A.,,,John Barrasso,1952-07-21,M,sen,WY,,1.0,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,1881.0,N00006236,S317,S6WY00068,1024777.0,412251,52662.0,John Barrasso,,40707.0,John Barrasso,Barrasso,John,A.,,,John Barrasso,1952-07-21,M,sen,WY,,1.0,Republican,https://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,https://www.barrasso.senate.gov/public/index.cfm/contact-form,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,johnbarrasso,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,1881.0,N00006236,S317,S6WY00068,1024777.0,412251,52662.0,John Barrasso,,40707.0,John Barrasso
13,Wicker,Roger,F.,,,Roger F. Wicker,1951-07-05,M,sen,MS,,1.0,Republican,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,1226.0,N00003280,S318,"H4MS01078,S8MS00196",18203.0,400432,21926.0,Roger Wicker,,29534.0,Roger Wicker,Wicker,Roger,F.,,,Roger F. Wicker,1951-07-05,M,sen,MS,,1.0,Republican,https://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,SenatorWicker,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,1226.0,N00003280,S318,"H4MS01078,S8MS00196",18203.0,400432,21926.0,Roger Wicker,,29534.0,Roger Wicker
14,Collins,Susan,M.,,,Susan M. Collins,1952-12-07,F,sen,ME,,2.0,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,https://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,1541.0,N00000491,S252,S6ME00159,45738.0,300025,379.0,Susan Collins,,49703.0,Susan Collins,Collins,Susan,M.,,,Susan M. Collins,1952-12-07,F,sen,ME,,2.0,Republican,https://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,https://www.collins.senate.gov/contact,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,susancollins,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,1541.0,N00000491,S252,S6ME00159,45738.0,300025,379.0,Susan Collins,,49703.0,Susan Collins
15,Cornyn,John,,,,John Cornyn,1952-02-02,M,sen,TX,,2.0,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,1692.0,N00024852,S287,S2TX00106,93131.0,300027,15375.0,John Cornyn,,40305.0,John Cornyn,Cornyn,John,,,,John Cornyn,1952-02-02,M,sen,TX,,2.0,Republican,https://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,https://www.cornyn.senate.gov/contact,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,sen.johncornyn,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,1692.0,N00024852,S287,S2TX00106,93131.0,300027,15375.0,John Cornyn,,40305.0,John Cornyn
16,Durbin,Richard,J.,,,Richard J. Durbin,1944-11-21,M,sen,IL,,2.0,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,326.0,N00004981,S253,"S6IL00151,H2IL20026",6741.0,300038,26847.0,Dick Durbin,,15021.0,Dick Durbin,Durbin,Richard,J.,,,Richard J. Durbin,1944-11-21,M,sen,IL,,2.0,Democrat,https://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,https://www.durbin.senate.gov/contact/,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,326.0,N00004981,S253,"S6IL00151,H2IL20026",6741.0,300038,26847.0,Dick Durbin,,15021.0,Dick Durbin
17,Graham,Lindsey,O.,,,Lindsey Graham,1955-07-09,M,sen,SC,,2.0,Republican,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,452.0,N00009975,S293,"S0SC00149,H4SC03087",36782.0,300047,21992.0,Lindsey Graham,,29566.0,Lindsey Graham,Graham,Lindsey,O.,,,Lindsey Graham,1955-07-09,M,sen,SC,,2.0,Republican,https://www.lgraham.senate.gov/public,290 Russell Senate Office Building Washington DC 20510,202-224-5972,https://www.lgraham.senate.gov/public/index.cfm/e-mail-senator-graham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,452.0,N00009975,S293,"S0SC00149,H4SC03087",36782.0,300047,21992.0,Lindsey Graham,,29566.0,Lindsey Graham
18,Inhofe,James,M.,,Jim,James M. Inhofe,1934-11-17,M,sen,OK,,2.0,Republican,https://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,https://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,JimInhofe,jiminhofe,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,583.0,N00005582,S236,"S4OK00083,H6OK01102",5619.0,300055,27027.0,Jim Inhofe,,15424.0,Jim Inhofe,Inhofe,James,M.,,Jim,James M. Inhofe,1934-11-17,M,sen,OK,,2.0,Republican,https://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,https://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,JimInhofe,jiminhofe,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,583.0,N00005582,S236,"S4OK00083,H6OK01102",5619.0,300055,27027.0,Jim Inhofe,,15424.0,Jim Inhofe
19,McConnell,Mitch,,,,Mitch McConnell,1942-02-20,M,sen,KY,,2.0,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,mitchmcconnell,,,M000355,1395.0,N00003389,S174,S2KY00012,2351.0,300072,53298.0,Mitch McConnell,,14921.0,Mitch McConnell,McConnell,Mitch,,,,Mitch McConnell,1942-02-20,M,sen,KY,,2.0,Republican,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,mitchmcconnell,,,M000355,1395.0,N00003389,S174,S2KY00012,2351.0,300072,53298.0,Mitch McConnell,,14921.0,Mitch McConnell
20,Merkley,Jeff,,,,Jeff Merkley,1956-10-24,M,sen,OR,,2.0,Democrat,https://www.merkley.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-3753,https://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,1900.0,N00029303,S322,S8OR00207,1029842.0,412325,23644.0,Jeff Merkley,,40908.0,Jeff Merkley,Merkley,Jeff,,,,Jeff Merkley,1956-10-24,M,sen,OR,,2.0,Democrat,https://www.merkley.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-3753,https://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,1900.0,N00029303,S322,S8OR00207,1029842.0,412325,23644.0,Jeff Merkley,,40908.0,Jeff Merkley
21,Reed,John,F.,,Jack,Jack Reed,1949-11-12,M,sen,RI,,2.0,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,949.0,N00000362,S259,"S6RI00163,H0RI02071",24239.0,300081,27060.0,Jack Reed,,29142.0,Jack Reed (Rhode Island politician),Reed,John,F.,,Jack,Jack Reed,1949-11-12,M,sen,RI,,2.0,Democrat,https://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,https://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,SenJackReed,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,949.0,N00000362,S259,"S6RI00163,H0RI02071",24239.0,300081,27060.0,Jack Reed,,29142.0,Jack Reed (Rhode Island politician)
22,Risch,James,E.,,,James E. Risch,1943-05-03,M,sen,ID,,2.0,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,https://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,1896.0,N00029441,S323,S8ID00092,1020034.0,412322,2919.0,Jim Risch,,40902.0,Jim Risch,Risch,James,E.,,,James E. Risch,1943-05-03,M,sen,ID,,2.0,Republican,https://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,https://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,senatorjimrisch,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,1896.0,N00029441,S323,S8ID00092,1020034.0,412322,2919.0,Jim Risch,,40902.0,Jim Risch
23,Shaheen,Jeanne,,,,Jeanne Shaheen,1947-01-28,F,sen,NH,,2.0,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,http://www.shaheen.senate.gov/rss/,SenatorShaheen,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,1901.0,N00024790,S324,S0NH00219,22850.0,412323,1663.0,Jeanne Shaheen,,40906.0,Jeanne Shaheen,Shaheen,Jeanne,,,,Jeanne Shaheen,1947-01-28,F,sen,NH,,2.0,Democrat,https://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,https://www.shaheen.senate.gov/contact/contact-jeanne,http://www.shaheen.senate.gov/rss/,SenatorShaheen,SenatorShaheen,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,1901.0,N00024790,S324,S0NH00219,22850.0,412323,1663.0,Jeanne Shaheen,,40906.0,Jeanne Shaheen
24,Warner,Mark,R.,,,Mark R. Warner,1954-12-15,M,sen,VA,,2.0,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,https://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,1897.0,N00002097,S327,"S6VA00093,P80003023",7630.0,412321,535.0,Mark Warner,,40909.0,Mark Warner,Warner,Mark,R.,,,Mark R. Warner,1954-12-15,M,sen,VA,,2.0,Democrat,https://www.warner.senate.gov,703 Hart Senate Office Building Washington DC 20510,202-224-2023,https://www.warner.senate.gov/public/index.cfm?p=Contact,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,MarkRWarner,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,1897.0,N00002097,S327,"S6VA00093,P80003023",7630.0,412321,535.0,Mark Warner,,40909.0,Mark Warner
25,Gillibrand,Kirsten,E.,,,Kirsten E. Gillibrand,1966-12-09,F,sen,NY,,1.0,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,http://www.gillibrand.senate.gov/rss/,GillibrandNY,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,1866.0,N00027658,S331,"H6NY20167,S0NY00410",1022862.0,412223,65147.0,Kirsten Gillibrand,,20735.0,Kirsten Gillibrand,Gillibrand,Kirsten,E.,,,Kirsten E. Gillibrand,1966-12-09,F,sen,NY,,1.0,Democrat,https://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,https://www.gillibrand.senate.gov/contact/email-me,http://www.gillibrand.senate.gov/rss/,GillibrandNY,SenKirstenGillibrand,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,1866.0,N00027658,S331,"H6NY20167,S0NY00410",1022862.0,412223,65147.0,Kirsten Gillibrand,,20735.0,Kirsten Gillibrand
